               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  64,              1.6229,              2.4964,              2.0749,             0.35324,             0.49961,             0.46682,              0.3572,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.6226,              2.5226,              2.0807,             0.41108,             0.48785,             0.49397,             0.38821,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.6183,              2.5023,              2.0705,             0.49309,             0.47363,             0.49834,             0.38496,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.6005,              2.4648,              2.0472,             0.41998,             0.50886,             0.49783,             0.38945,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,                1.59,              2.4279,              2.0508,             0.44562,             0.48025,             0.51165,             0.39995,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.6208,              2.4804,              2.0837,              0.4805,             0.48664,             0.50129,              0.3913,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.5951,              2.4261,              2.0667,             0.59594,              0.4095,             0.50576,             0.39398,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.6139,              2.4056,              2.0556,             0.33251,             0.56216,             0.48771,              0.3841,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.5874,              2.4342,              2.0613,             0.37258,              0.5641,             0.51454,             0.40423,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.5753,              2.3326,              2.0324,             0.41789,             0.58595,             0.51638,             0.40707,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.5724,              2.3483,              2.0484,             0.42841,             0.49994,             0.49026,             0.38936,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,               1.587,              2.3397,              2.0431,             0.45568,             0.51262,              0.5205,             0.40895,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.5602,              2.3002,              2.0185,             0.40148,             0.53694,             0.51382,             0.40064,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.5694,              2.3328,              2.0251,             0.42431,             0.58041,             0.52292,             0.40434,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.5558,              2.3016,              2.0321,             0.38451,             0.60386,             0.50665,             0.40033,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.5726,              2.3022,              2.0268,             0.48046,             0.48149,             0.53212,             0.41901,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.5427,              2.2609,              2.0045,             0.40314,             0.58578,             0.52303,             0.41382,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.5529,              2.2657,              2.0091,             0.42656,             0.58054,             0.53548,             0.42149,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.5428,              2.2305,              1.9997,             0.43821,             0.54649,             0.52279,              0.4039,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.5501,              2.2633,              2.0149,              0.3767,             0.57409,             0.50904,             0.40585,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,               1.539,              2.2357,              2.0144,             0.38735,             0.63029,             0.53246,             0.42336,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.5396,              2.2106,              1.9963,             0.42661,             0.56413,             0.53849,              0.4246,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.5548,              2.2079,              2.0015,             0.37947,              0.6275,              0.5434,             0.43253,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.5204,              2.2061,              1.9969,             0.41033,             0.59095,             0.52731,             0.41704,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,               1.527,              2.1701,              1.9788,             0.43652,             0.60136,             0.54244,             0.43446,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,               1.532,              2.1719,              1.9976,             0.38457,             0.62774,             0.53953,             0.42644,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.5274,              2.1661,              1.9951,             0.44532,             0.57669,             0.54861,             0.43248,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.5142,              2.1493,              1.9876,             0.41015,             0.63199,             0.54485,             0.42867,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,               1.517,              2.1496,              1.9924,             0.43433,             0.62538,             0.54657,             0.43182,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.4865,              2.0653,              1.9624,              0.4406,             0.59553,             0.54551,             0.42883,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.5176,              2.1243,              1.9732,             0.43078,             0.60246,              0.5541,             0.44056,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.5011,              2.1038,              1.9701,             0.45185,             0.59553,             0.55403,             0.43974,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.5022,              2.0693,              1.9654,             0.46128,             0.59702,             0.56264,             0.44422,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.4816,              2.0544,              1.9549,             0.51411,             0.54822,             0.55953,             0.44383,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.4868,              2.0871,              1.9839,             0.45987,             0.58282,             0.55977,             0.44274,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.4967,              2.0406,              1.9563,             0.50952,             0.57359,             0.56817,             0.45013,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
